iter	Passed	Remaining
752	4836	1586
753	4842	1579
754	4849	1573
755	4855	1567
756	4861	1560
757	4868	1554
758	4874	1547
759	4880	1541
760	4886	1534
761	4893	1528
762	4900	1522
763	4906	1515
764	4912	1509
765	4918	1502
766	4924	1495
767	4930	1489
768	4936	1482
769	4941	1476
770	4947	1469
771	4953	1462
772	4959	1456
773	4965	1449
774	4972	1443
775	4978	1436
776	4984	1430
777	4990	1424
778	4996	1417
779	5002	1410
780	5007	1404
781	5014	1397
782	5020	1391
783	5025	1384
784	5032	1378
785	5039	1371
786	5045	1365
787	5051	1358
788	5057	1352
789	5064	1346
790	5071	1340
791	5078	1333
792	5083	1326
793	5110	1325
794	5119	1320
795	5128	1314
796	5136	1308
797	5141	1301
798	5147	1295
799	5154	1288
800	5160	1281
801	5165	1275
802	5171	1268
803	5176	1262
804	5183	1255
805	5188	1248
806	5195	1242
807	5200	1235
808	5206	1229
809	5212	1222
810	5218	1216
811	5224	1209
812	5230	1203
813	5236	1196
814	5242	1189
815	5247	1183
816	5253	1176
817	5260	1170
818	5266	1163
819	5272	1157
820	5278	1150
821	5285	1144
822	5291	1137
823	5297	1131
824	5302	1124
825	5309	1118
826	5314	1111
827	5320	1105
828	5326	1098
829	5332	1092
830	5338	1085
831	5345	1079
832	5350	1072
833	5356	1066
834	5362	1059
835	5368	1053
836	5374	1046
837	5380	1040
838	5385	1033
839	5392	1027
840	5398	1020
841	5404	1014
842	5410	1007
843	5416	1001
844	5423	994
845	5429	988
846	5434	981
847	5441	975
848	5447	968
849	5452	962
850	5459	955
851	5464	949
852	5470	942
853	5476	936
854	5482	929
855	5489	923
856	5495	916
857	5501	910
858	5508	904
859	5514	897
860	5520	891
861	5526	884
862	5531	878
863	5538	871
864	5543	865
865	5549	858
866	5555	852
867	5561	845
868	5567	839
869	5573	832
870	5579	826
871	5585	819
872	5592	813
873	5598	807
874	5604	800
875	5610	794
876	5616	787
877	5622	781
878	5628	774
879	5634	768
880	5640	761
881	5645	755
882	5651	748
883	5657	742
884	5662	735
885	5669	729
886	5675	723
887	5681	716
888	5688	710
889	5693	703
890	5699	697
891	5706	690
892	5711	684
893	5718	677
894	5723	671
895	5729	665
896	5736	658
897	5741	652
898	5747	645
899	5753	639
900	5759	632
901	5765	626
902	5770	619
903	5776	613
904	5782	607
905	5788	600
906	5793	594
907	5799	587
908	5806	581
909	5812	574
910	5818	568
911	5824	561
912	5830	555
913	5836	549
914	5842	542
915	5848	536
916	5854	529
917	5859	523
918	5866	517
919	5873	510
920	5878	504
921	5884	497
922	5890	491
923	5896	485
924	5903	478
925	5908	472
926	5916	465
927	5922	459
928	5928	453
929	5934	446
930	5939	440
931	5946	433
932	5951	427
933	5957	420
934	5964	414
935	5970	408
936	5976	401
937	5982	395
938	5987	388
939	5993	382
940	5999	376
941	6005	369
942	6012	363
943	6019	357
944	6025	350
945	6031	344
946	6037	337
947	6044	331
948	6050	325
949	6056	318
950	6063	312
951	6069	306
952	6075	299
953	6081	293
954	6087	286
955	6093	280
956	6099	274
957	6106	267
958	6113	261
959	6120	255
960	6128	248
961	6134	242
962	6140	235
963	6146	229
964	6152	223
965	6158	216
966	6164	210
967	6171	204
968	6177	197
969	6183	191
970	6190	184
971	6197	178
972	6202	172
973	6209	165
974	6215	159
975	6221	152
976	6228	146
977	6234	140
978	6241	133
979	6247	127
980	6253	121
981	6259	114
982	6265	108
983	6271	101
984	6277	95
985	6284	89
986	6291	82
987	6299	76
988	6307	70
989	6314	63
990	6322	57
991	6329	51
992	6336	44
993	6345	38
994	6352	31
995	6358	25
996	6365	19
997	6372	12
998	6378	6
999	6384	0
